iter	RMSE
0	215.867947
1	215.7978124
2	215.7513567
3	215.6905747
4	215.5968097
5	215.5612682
6	215.4985036
7	215.3981518
8	215.2845189
9	215.2295881
10	215.1759261
11	215.1001347
12	215.0086276
13	214.9322959
14	214.8894157
15	214.8461861
16	214.7991224
17	214.7595154
18	214.7210848
19	214.6738746
20	214.592537
21	214.5176055
22	214.4387889
23	214.3495335
24	214.3030778
25	214.2210158
26	214.1732821
27	214.1294621
28	214.0290652
29	213.988621
30	213.968913
31	213.8286752
32	213.7487996
33	213.6457366
34	213.5817808
35	213.5303357
36	213.4819892
37	213.4378263
38	213.3691982
39	213.2924167
40	213.2388676
41	213.2356548
42	213.1692745
43	213.0642319
44	213.0242982
45	212.9444586
46	212.8135583
47	212.7603075
48	212.671213
49	212.6632136
50	212.6218379
51	212.5774106
52	212.5333288
53	212.487009
54	212.4563691
55	212.389642
56	212.2548274
57	212.1792968
58	212.0926722
59	212.0844916
60	212.0284362
61	211.9820343
62	211.9172624
63	211.8890201
64	211.8081024
65	211.7789226
66	211.7305151
67	211.6925395
68	211.6226882
69	211.59635
70	211.5605391
71	211.4876645
72	211.4326838
73	211.376092
74	211.3615504
75	211.3477374
76	211.3171479
77	211.2921094
78	211.2342901
79	211.1150885
80	211.0137984
81	210.9767818
82	210.9049457
83	210.8721262
84	210.8192927
85	210.7736306
86	210.6746369
87	210.6572997
88	210.6212435
89	210.5845209
90	210.5544659
91	210.4593514
92	210.4295905
93	210.426574
94	210.3678042
95	210.2742143
96	210.2151297
97	210.1903147
98	210.1305077
99	210.0920685
