iter	Passed	Remaining
0	83	8299
1	165	8092
2	240	7778
3	319	7663
4	398	7577
5	482	7564
6	566	7520
7	641	7382
8	718	7267
9	795	7161
10	872	7063
11	948	6956
12	1024	6858
13	1107	6803
14	1188	6733
15	1263	6635
16	1340	6544
17	1425	6494
18	1501	6401
19	1577	6309
20	1654	6223
21	1735	6153
22	1813	6072
23	1889	5983
24	1975	5926
25	2054	5846
26	2136	5775
27	2214	5694
28	2299	5630
29	2384	5562
30	2419	5386
31	2501	5316
32	2579	5236
33	2661	5165
34	2738	5086
35	2813	5001
36	2891	4922
37	2967	4842
38	3050	4771
39	3144	4716
40	3258	4689
41	3267	4512
42	3362	4456
43	3458	4401
44	3562	4354
45	3664	4301
46	3755	4234
47	3833	4152
48	3911	4070
49	3920	3920
50	3996	3839
51	4070	3757
52	4147	3677
53	4225	3599
54	4302	3520
55	4382	3443
56	4460	3364
57	4538	3286
58	4615	3207
59	4694	3129
60	4770	3049
61	4857	2977
62	4939	2901
63	5019	2823
64	5117	2755
65	5215	2686
66	5297	2609
67	5376	2530
68	5455	2450
69	5532	2371
70	5609	2291
71	5687	2211
72	5768	2133
73	5847	2054
74	5921	1973
75	5932	1873
76	6015	1796
77	6093	1718
78	6168	1639
79	6249	1562
80	6329	1484
81	6416	1408
82	6499	1331
83	6582	1253
84	6669	1176
85	6747	1098
86	6827	1020
87	6906	941
88	6984	863
89	7061	784
90	7139	706
91	7215	627
92	7296	549
93	7380	471
94	7454	392
95	7535	313
96	7614	235
97	7694	157
98	7775	78
99	7852	0
